AJA_HOMESIREN-W;0856963007286;New;2;80,4000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_HOMESIREN-B;0856963007293;New;1;80,4000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_GLASSPRO-W;0856963007118;New;1;80,4000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_GLASSPRO-B;0856963007125;New;100;80,4000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_DOORPRO-W;0856963007033;New;1;48,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_DOORPRO-B;0856963007040;New;100;48,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_MOTIONPROPLUS-W;0856963007019;New;2;114,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_MOTIONPROPLUS-B;0856963007026;New;1;114,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_COMBIPRO-W;0856963007132;New;1;112,8000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_COMBIPRO-B;0856963007149;New;1;112,8000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_FIREPRO-B;0856963007231;New;100;97,2000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
WIZ_SW_POE_5P;5902887043598;New;0;35,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AMZ_FIRETVSTICK_V2;0810014309439;New;21;39,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
NOD_CRC-2-6-01;3700313921388;New;2;44,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
RASPBERRY_15WUSB-C;0644824914886;New;11;10,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ATH_HOMEY;8717953223449;New;11;351,4300;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ORN_AE1323W;5901752485297;New;0;9,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ZIP_ZIPATILEZIG_WHT;3858890732252;New;0;379,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
NOD_CRC-2-6-05;3700313920305;New;0;44,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
EDI_EMSD-300;5420074900726;New;0;94,5000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
UBI_UBIEXT-IO;3459950003154;New;0;80,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
MSD-16GBC10;4056324726726;New;15;14,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
BTH_VP1000;5016351512319;New;6;20,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
POP_004001;0019962004001;New;2;69,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
HIK_DS-PWA32-NT;2008832150908;New;0;365,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
FOS_FI9928P;6954836003299;New;0;308,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
FOS_FI9902P;6954836013533;New;0;119,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
FOS_FI9800P;6954836000984;New;0;74,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
UA0086;4052792004427;New;0;12,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
JEEDUP_ZIGATE;2008853437569;New;0;209,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
EEDOMUS_ZIGATE;2008853471570;New;0;329,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
FOS_BABYP1RO;6954836052099;New;0;129,8000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
RFX14103;0641243585833;New;0;85,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
LEG_068901;3245060689018;New;5;10,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
GRE_GB107;5902211101970;New;0;13,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
