1801071842ENCKO;Shipped;ARU2536;6;ShippedBySeller;DPD;07081006937917;https://tracking.dpd.de/parcelstatus?query=07081006937917&locale=fr_BE
1801071737EMOHT;Shipped;ARU2536;6;ShippedBySeller;DPD;07081006937909;https://tracking.dpd.de/parcelstatus?query=07081006937909&locale=fr_BE
1801071506ELA2T;Shipped;ARU2536;6;ShippedBySeller;DPD;07081006937916;https://tracking.dpd.de/parcelstatus?query=07081006937916&locale=fr_BE
1801071534ELJIY;Shipped;ARU2536;6;ShippedBySeller;DPD;07081006937938;https://tracking.dpd.de/parcelstatus?query=07081006937938&locale=fr_BE
1801071615ELX06;Shipped;ARU2094;6;ShippedBySeller;DPD;07081006937921;https://tracking.dpd.de/parcelstatus?query=07081006937921&locale=fr_BE
1801080052EQ3SX;Shipped;ARU2536;6;ShippedBySeller;DPD;07081006937941;https://tracking.dpd.de/parcelstatus?query=07081006937941&locale=fr_BE
1801071203EJNB0;Shipped;ART0742;6;ShippedBySeller;DPD;07081006937908;https://tracking.dpd.de/parcelstatus?query=07081006937908&locale=fr_BE
1801071213EJQSS;Shipped;ARU2536;6;ShippedBySeller;DPD;07081006937923;https://tracking.dpd.de/parcelstatus?query=07081006937923&locale=fr_BE
1801071416EKU4O;Shipped;ART1639;6;ShippedBySeller;DPD;07081006937856;https://tracking.dpd.de/parcelstatus?query=07081006937856&locale=fr_BE
1801071419EKV58;Shipped;ARU2094;6;ShippedBySeller;DPD;07081006937945;https://tracking.dpd.de/parcelstatus?query=07081006937945&locale=fr_BE
1801071524ELG59;Shipped;ARU2536;6;ShippedBySeller;DPD;07081006937915;https://tracking.dpd.de/parcelstatus?query=07081006937915&locale=fr_BE
1801071630EM1Y0;Shipped;ART1639;6;ShippedBySeller;DPD;07081006937829;https://tracking.dpd.de/parcelstatus?query=07081006937829&locale=fr_BE
1801071658EMB8X;Shipped;ART0742;6;ShippedBySeller;DPD;07081006937939;https://tracking.dpd.de/parcelstatus?query=07081006937939&locale=fr_BE
1801072340EPU52;Shipped;ART0742;6;ShippedBySeller;DPD;07080002340266;https://tracking.dpd.de/parcelstatus?query=07080002340266&locale=fr_BE
1801070938EIGDA;Shipped;ART1639;6;ShippedBySeller;DPD;07081006937803;https://tracking.dpd.de/parcelstatus?query=07081006937803&locale=fr_BE
1801071043EIWIU;Shipped;ART1639;6;ShippedBySeller;DPD;07081006937836;https://tracking.dpd.de/parcelstatus?query=07081006937836&locale=fr_BE
1801071139EJEUX;Shipped;ART1639;6;ShippedBySeller;DPD;07080002340262;https://tracking.dpd.de/parcelstatus?query=07080002340262&locale=fr_BE
1801071214EJR52;Shipped;ART1639;6;ShippedBySeller;DPD;07081006937853;https://tracking.dpd.de/parcelstatus?query=07081006937853&locale=fr_BE
1801071214EJRDI;Shipped;ART1639;6;ShippedBySeller;DPD;07081006937841;https://tracking.dpd.de/parcelstatus?query=07081006937841&locale=fr_BE
1801071253EK4OL;Shipped;ART1639;6;ShippedBySeller;DPD;07081006937849;https://tracking.dpd.de/parcelstatus?query=07081006937849&locale=fr_BE
