Ean;FatherProductId;Name;CategoryCode;BrandName;Size;Color;ImageUrl;HasError;ErrorMessage;
;;;;;;;;True;La taille de l'EAN  est incorrecte, il doit être de type 13;
3260012736763;ALS3260012736763;Galaxy S6 Edge Coque Housse Combinaison Café Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/7/6/3/1/700x700/ALS3260012736763.jpg;False;;
3260012736770;ALS3260012736770;Galaxy S6 Edge Coque Housse Combinaison Vert Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/7/7/0/1/700x700/ALS3260012736770.jpg;False;;
3260012736787;ALS3260012736787;Galaxy S6 Edge Coque Housse Combinaison Jaune Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/7/8/7/1/700x700/ALS3260012736787.jpg;False;;
3260012736794;ALS3260012736794;Galaxy S6 Edge Coque Housse Combinaison Bleu Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/7/9/4/1/700x700/ALS3260012736794.jpg;False;;
3260012736800;ALS3260012736800;Galaxy S6 Edge Coque Housse Combinaison Magenta Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/0/0/1/700x700/ALS3260012736800.jpg;False;;
3260012736817;ALS3260012736817;Galaxy S6 Edge Coque Housse Combinaison Rouge Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/1/7/1/700x700/ALS3260012736817.jpg;False;;
3260012736824;ALS3260012736824;Galaxy S6 Edge Coque Housse Combinaison Argenté Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/2/4/1/700x700/ALS3260012736824.jpg;False;;
3260012736831;ALS3260012736831;Galaxy S6 Edge Coque Housse Combinaison Blanc Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/3/1/1/700x700/ALS3260012736831.jpg;False;;
3260012736848;ALS3260012736848;Galaxy S6 Edge Coque Housse Combinaison Jaune Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/4/8/1/700x700/ALS3260012736848.jpg;False;;
3260012736855;ALS3260012736855;Galaxy S6 Edge Coque Housse Combinaison Noir Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/5/5/1/700x700/ALS3260012736855.jpg;False;;
3260012736862;ALS3260012736862;Galaxy S6 Edge Coque Housse Combinaison Café Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/6/2/1/700x700/ALS3260012736862.jpg;False;;
3260012736879;ALS3260012736879;Galaxy S6 Edge Coque Housse Combinaison Vert Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/7/9/1/700x700/ALS3260012736879.jpg;False;;
3260012736886;ALS3260012736886;Galaxy S6 Edge Coque Housse Combinaison Jaune Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/8/6/1/700x700/ALS3260012736886.jpg;False;;
3260012736893;ALS3260012736893;Galaxy S6 Edge Coque Housse Combinaison Bleu Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/8/9/3/1/700x700/ALS3260012736893.jpg;False;;
3260012736909;ALS3260012736909;Galaxy S6 Edge Coque Housse Combinaison Magenta Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/9/0/9/1/700x700/ALS3260012736909.jpg;False;;
3260012736916;ALS3260012736916;Galaxy S6 Edge Coque Housse Combinaison Rouge Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/9/1/6/1/700x700/ALS3260012736916.jpg;False;;
3260012736923;ALS3260012736923;Galaxy S6 Edge Coque Housse Combinaison Argenté Brossé;07050F01;ALSATEK;;;https://i2.cdscdn.com/pdt2/9/2/3/1/700x700/ALS3260012736923.jpg;False;;
